transaction_id,merchant_name,amount,date,hour,minute,category,payment_status
TXN0068,Sharma Café,439,2025-09-13 14:52:02,14,52,Lunch,SUCCESS
TXN0069,Sharma Café,129,2025-09-13 15:22:58,15,22,Snacks,SUCCESS
TXN0070,Sharma Café,166,2025-09-13 15:32:50,15,32,Coffee,SUCCESS
TXN0071,Sharma Café,55,2025-09-13 15:55:07,15,55,Coffee,SUCCESS
TXN0072,Sharma Café,165,2025-09-13 16:07:51,16,7,Snacks,SUCCESS
TXN0073,Sharma Café,146,2025-09-13 16:09:41,16,9,Snacks,SUCCESS
TXN0074,Sharma Café,167,2025-09-13 17:03:59,17,3,Fast Food,SUCCESS
TXN0075,Sharma Café,147,2025-09-13 17:38:39,17,38,Snacks,SUCCESS
TXN0076,Sharma Café,205,2025-09-13 17:42:27,17,42,Fast Food,SUCCESS
TXN0077,Sharma Café,180,2025-09-13 18:34:38,18,34,Fast Food,SUCCESS
TXN0078,Sharma Café,225,2025-09-13 18:38:19,18,38,Snacks,SUCCESS
TXN0079,Sharma Café,474,2025-09-13 18:53:06,18,53,Combo,SUCCESS
TXN0080,Sharma Café,277,2025-09-13 18:58:14,18,58,Dessert,SUCCESS
TXN0081,Sharma Café,145,2025-09-13 19:16:47,19,16,Dessert,SUCCESS
TXN0082,Sharma Café,199,2025-09-13 19:20:14,19,20,Coffee,SUCCESS
TXN0083,Sharma Café,149,2025-09-13 19:30:06,19,30,Dessert,SUCCESS
TXN0084,Sharma Café,145,2025-09-13 19:55:10,19,55,Beverage,SUCCESS
TXN0085,Sharma Café,295,2025-09-13 20:09:50,20,9,Snacks,SUCCESS
TXN0086,Sharma Café,209,2025-09-13 20:15:51,20,15,Coffee,SUCCESS
TXN0087,Sharma Café,335,2025-09-13 20:29:34,20,29,Combo,SUCCESS
TXN0088,Sharma Café,505,2025-09-13 20:30:33,20,30,Dessert,FAILED
TXN0089,Sharma Café,99,2025-09-13 21:13:34,21,13,Beverage,SUCCESS
TXN0090,Sharma Café,325,2025-09-13 21:42:24,21,42,Dessert,SUCCESS
TXN0091,Sharma Café,55,2025-09-14 08:38:12,8,38,Breakfast,SUCCESS
TXN0092,Sharma Café,54,2025-09-14 08:51:41,8,51,Combo,SUCCESS
TXN0093,Sharma Café,137,2025-09-14 08:57:17,8,57,Coffee,SUCCESS
TXN0094,Sharma Café,245,2025-09-14 09:28:56,9,28,Coffee,SUCCESS
TXN0095,Sharma Café,230,2025-09-14 09:45:18,9,45,Breakfast,SUCCESS
TXN0096,Sharma Café,155,2025-09-14 09:50:37,9,50,Tea,SUCCESS
TXN0097,Sharma Café,278,2025-09-14 10:27:34,10,27,Snacks,REFUNDED
TXN0098,Sharma Café,246,2025-09-14 10:35:32,10,35,Coffee,SUCCESS
TXN0099,Sharma Café,104,2025-09-14 10:44:57,10,44,Coffee,SUCCESS
TXN0100,Sharma Café,95,2025-09-14 11:10:41,11,10,Coffee,SUCCESS
TXN0101,Sharma Café,109,2025-09-14 11:20:32,11,20,Coffee,SUCCESS
TXN0102,Sharma Café,57,2025-09-14 11:51:26,11,51,Beverage,SUCCESS
TXN0103,Sharma Café,180,2025-09-14 12:00:48,12,0,Combo,SUCCESS
TXN0104,Sharma Café,430,2025-09-14 12:06:25,12,6,Lunch,SUCCESS
TXN0105,Sharma Café,295,2025-09-14 12:08:00,12,8,Fast Food,SUCCESS
TXN0106,Sharma Café,265,2025-09-14 12:12:31,12,12,Combo,SUCCESS
TXN0107,Sharma Café,209,2025-09-14 12:32:01,12,32,Lunch,SUCCESS
TXN0108,Sharma Café,95,2025-09-14 13:12:07,13,12,Snacks,SUCCESS
TXN0109,Sharma Café,328,2025-09-14 13:31:04,13,31,Lunch,SUCCESS
TXN0110,Sharma Café,539,2025-09-14 13:45:19,13,45,Beverage,FAILED
TXN0111,Sharma Café,247,2025-09-14 13:58:23,13,58,Lunch,SUCCESS
TXN0112,Sharma Café,187,2025-09-14 14:36:59,14,36,Lunch,SUCCESS
TXN0113,Sharma Café,379,2025-09-14 14:43:35,14,43,Lunch,SUCCESS
TXN0114,Sharma Café,724,2025-09-14 14:51:14,14,51,Lunch,SUCCESS
TXN0115,Sharma Café,79,2025-09-14 15:36:51,15,36,Tea,SUCCESS
TXN0116,Sharma Café,95,2025-09-14 15:46:43,15,46,Coffee,SUCCESS
TXN0117,Sharma Café,255,2025-09-14 16:16:11,16,16,Beverage,SUCCESS
TXN0118,Sharma Café,84,2025-09-14 16:18:48,16,18,Dessert,SUCCESS
TXN0119,Sharma Café,195,2025-09-14 16:42:58,16,42,Coffee,SUCCESS
TXN0120,Sharma Café,286,2025-09-14 17:31:49,17,31,Combo,SUCCESS
TXN0121,Sharma Café,315,2025-09-14 17:34:51,17,34,Snacks,SUCCESS
TXN0122,Sharma Café,277,2025-09-14 17:59:08,17,59,Beverage,SUCCESS
TXN0123,Sharma Café,329,2025-09-14 18:00:18,18,0,Coffee,SUCCESS
TXN0124,Sharma Café,99,2025-09-14 18:20:07,18,20,Snacks,SUCCESS
TXN0125,Sharma Café,87,2025-09-14 18:43:57,18,43,Snacks,SUCCESS
TXN0126,Sharma Café,79,2025-09-14 19:16:16,19,16,Dessert,SUCCESS
TXN0127,Sharma Café,166,2025-09-14 19:22:10,19,22,Snacks,SUCCESS
TXN0128,Sharma Café,324,2025-09-14 19:33:19,19,33,Combo,SUCCESS
TXN0129,Sharma Café,86,2025-09-14 19:43:36,19,43,Snacks,SUCCESS
TXN0130,Sharma Café,235,2025-09-14 20:17:21,20,17,Coffee,SUCCESS
TXN0131,Sharma Café,208,2025-09-14 20:38:44,20,38,Snacks,SUCCESS
TXN0132,Sharma Café,209,2025-09-14 20:43:40,20,43,Snacks,SUCCESS
TXN0133,Sharma Café,109,2025-09-14 21:10:30,21,10,Beverage,SUCCESS
TXN0134,Sharma Café,95,2025-09-14 21:18:40,21,18,Coffee,SUCCESS
TXN0135,Sharma Café,399,2025-09-15 07:02:40,7,2,Combo,SUCCESS
TXN0136,Sharma Café,55,2025-09-15 07:18:15,7,18,Breakfast,SUCCESS
TXN0137,Sharma Café,298,2025-09-15 08:33:27,8,33,Coffee,SUCCESS
TXN0138,Sharma Café,305,2025-09-15 08:39:51,8,39,Tea,SUCCESS
TXN0139,Sharma Café,106,2025-09-15 09:20:45,9,20,Tea,SUCCESS
TXN0140,Sharma Café,107,2025-09-15 09:48:24,9,48,Coffee,SUCCESS
TXN0141,Sharma Café,105,2025-09-15 10:00:26,10,0,Snacks,SUCCESS
TXN0142,Sharma Café,89,2025-09-15 10:29:10,10,29,Dessert,SUCCESS
TXN0143,Sharma Café,135,2025-09-15 11:15:33,11,15,Snacks,SUCCESS
TXN0144,Sharma Café,139,2025-09-15 12:08:32,12,8,Fast Food,SUCCESS
TXN0145,Sharma Café,359,2025-09-15 12:25:12,12,25,Beverage,SUCCESS
TXN0146,Sharma Café,265,2025-09-15 12:55:48,12,55,Lunch,SUCCESS
TXN0147,Sharma Café,379,2025-09-15 13:02:56,13,2,Fast Food,SUCCESS
TXN0148,Sharma Café,145,2025-09-15 13:24:56,13,24,Lunch,SUCCESS
TXN0149,Sharma Café,228,2025-09-15 13:43:40,13,43,Lunch,SUCCESS
TXN0150,Sharma Café,259,2025-09-15 14:08:42,14,8,Fast Food,SUCCESS
TXN0151,Sharma Café,234,2025-09-15 14:37:31,14,37,Lunch,SUCCESS
TXN0152,Sharma Café,150,2025-09-15 15:59:07,15,59,Tea,SUCCESS
TXN0153,Sharma Café,45,2025-09-15 16:51:13,16,51,Snacks,SUCCESS
TXN0154,Sharma Café,116,2025-09-15 16:52:46,16,52,Beverage,REFUNDED
TXN0155,Sharma Café,87,2025-09-15 17:31:54,17,31,Fast Food,SUCCESS
TXN0156,Sharma Café,154,2025-09-15 17:41:56,17,41,Combo,SUCCESS
TXN0157,Sharma Café,879,2025-09-15 18:01:51,18,1,Dessert,SUCCESS
TXN0158,Sharma Café,85,2025-09-15 18:07:34,18,7,Fast Food,SUCCESS
TXN0159,Sharma Café,188,2025-09-15 18:39:41,18,39,Coffee,SUCCESS
TXN0160,Sharma Café,175,2025-09-15 19:11:03,19,11,Coffee,SUCCESS
TXN0161,Sharma Café,515,2025-09-15 19:19:37,19,19,Dessert,SUCCESS
TXN0162,Sharma Café,89,2025-09-15 19:28:57,19,28,Combo,SUCCESS
TXN0163,Sharma Café,205,2025-09-15 19:29:49,19,29,Dessert,SUCCESS
TXN0164,Sharma Café,175,2025-09-15 20:05:17,20,5,Beverage,SUCCESS
TXN0165,Sharma Café,147,2025-09-15 20:38:05,20,38,Coffee,SUCCESS
TXN0166,Sharma Café,215,2025-09-15 21:40:40,21,40,Dessert,SUCCESS
TXN0167,Sharma Café,95,2025-09-16 07:07:30,7,7,Breakfast,SUCCESS
TXN0168,Sharma Café,65,2025-09-16 08:23:35,8,23,Coffee,SUCCESS
TXN0169,Sharma Café,157,2025-09-16 08:53:12,8,53,Combo,SUCCESS
TXN0170,Sharma Café,318,2025-09-16 09:04:15,9,4,Coffee,SUCCESS
TXN0171,Sharma Café,114,2025-09-16 09:20:35,9,20,Snacks,SUCCESS
TXN0172,Sharma Café,115,2025-09-16 10:06:52,10,6,Coffee,SUCCESS
TXN0173,Sharma Café,199,2025-09-16 10:56:07,10,56,Beverage,SUCCESS
TXN0174,Sharma Café,319,2025-09-16 11:23:11,11,23,Snacks,SUCCESS
TXN0175,Sharma Café,335,2025-09-16 11:45:06,11,45,Coffee,SUCCESS
TXN0176,Sharma Café,218,2025-09-16 12:04:19,12,4,Lunch,SUCCESS
TXN0177,Sharma Café,305,2025-09-16 12:07:59,12,7,Beverage,SUCCESS
TXN0178,Sharma Café,270,2025-09-16 12:21:04,12,21,Lunch,SUCCESS
TXN0179,Sharma Café,324,2025-09-16 13:15:19,13,15,Combo,SUCCESS
TXN0180,Sharma Café,149,2025-09-16 13:49:59,13,49,Lunch,SUCCESS
TXN0181,Sharma Café,305,2025-09-16 13:50:00,13,50,Lunch,SUCCESS
TXN0182,Sharma Café,175,2025-09-16 13:51:50,13,51,Lunch,SUCCESS
TXN0183,Sharma Café,276,2025-09-16 14:27:37,14,27,Beverage,SUCCESS
TXN0184,Sharma Café,239,2025-09-16 14:38:49,14,38,Lunch,SUCCESS
TXN0185,Sharma Café,116,2025-09-16 15:52:05,15,52,Snacks,SUCCESS
TXN0186,Sharma Café,250,2025-09-16 16:05:11,16,5,Tea,SUCCESS
TXN0187,Sharma Café,379,2025-09-16 16:24:46,16,24,Snacks,SUCCESS
TXN0188,Sharma Café,109,2025-09-16 17:06:14,17,6,Beverage,SUCCESS
TXN0189,Sharma Café,494,2025-09-16 17:21:01,17,21,Snacks,SUCCESS
TXN0190,Sharma Café,160,2025-09-16 18:22:44,18,22,Fast Food,SUCCESS
TXN0191,Sharma Café,115,2025-09-16 18:45:26,18,45,Fast Food,SUCCESS
TXN0192,Sharma Café,157,2025-09-16 18:58:15,18,58,Snacks,SUCCESS
TXN0193,Sharma Café,159,2025-09-16 19:01:54,19,1,Combo,SUCCESS
TXN0194,Sharma Café,214,2025-09-16 19:28:15,19,28,Beverage,SUCCESS
TXN0195,Sharma Café,158,2025-09-16 19:47:44,19,47,Coffee,SUCCESS
TXN0196,Sharma Café,64,2025-09-16 19:55:11,19,55,Snacks,SUCCESS
TXN0197,Sharma Café,59,2025-09-16 20:29:14,20,29,Snacks,SUCCESS
TXN0198,Sharma Café,190,2025-09-16 20:47:56,20,47,Combo,SUCCESS
TXN0199,Sharma Café,199,2025-09-16 20:53:11,20,53,Snacks,FAILED
TXN0200,Sharma Café,175,2025-09-16 21:27:20,21,27,Snacks,SUCCESS
